show,season,episode,character,line,line_no
Dawson's Creek,1,0,Joey,(turning away from Dawson) Puberty. (shaking Jen's hand) I'm Joey. I live down the creek and we've never met...ever.,103
Dawson's Creek,1,0,Dawson,"So, Jen are you just visiting?",104
Dawson's Creek,1,0,Jen,"Oh yeah, my grandfather's aorta collapsed and they had to replace it with this plastic tube, so my parents sent me to help for a while.",105
Dawson's Creek,1,0,Dawson,So you'll be going to school here then?,106
Dawson's Creek,1,0,Jen,"Uh yeah, tenth grade.",107
Dawson's Creek,1,0,Pacey,"(smiling) Cool, us too.",108
Dawson's Creek,1,0,Pacey,Cut to Joey who fakes a smile then lets it fade.,109
Dawson's Creek,1,0,Dawson,Yeah.,110
Dawson's Creek,1,0,Jen,"Oh good, um look my Grams is waiting. I should go. But it was really nice to meet you guys and I'll see you in school.",111
Dawson's Creek,1,0,Dawson,If not sooner.,112
Dawson's Creek,1,0,Dawson,Pacey watches and laughs.,113
Dawson's Creek,1,0,Joey,(mimicking) If not sooner.,114
Dawson's Creek,1,0,Joey,She turns and walks back down the dock.,115
Dawson's Creek,1,0,Pacey,(elbowing Dawson) Nice.,116
Dawson's Creek,1,0,Pacey,"Cut to Jen walking away. She glances back at them. Dawson watches her, grinning.",117
Dawson's Creek,1,0,Pacey,Pacey and Dawson walk through Dawson's front yard. The sea creature costume hangs to dry on a lawn chair.,118
Dawson's Creek,1,0,Pacey,You think she's a virgin? Wanna nail her?,119
Dawson's Creek,1,0,Dawson,(laughing) We just met!,120
Dawson's Creek,1,0,Dawson,They climb the porch steps.,121
Dawson's Creek,1,0,Pacey,"And a wasted moment it was. I mean greater men would be nailing right now, you know what I mean?",122
Dawson's Creek,1,0,Dawson,"(opening front door) Tact, look it up.",123
Dawson's Creek,1,0,Dawson,"They walk into the house to be confronted with the sound of glass breaking. Worried, they walk quickly through the house and into the living room. They see Dawson's parents kissing passionately on a broken coffee table, their clothes in disarray.",124
Dawson's Creek,1,0,Dawson,Oh God...Mom!,125
Dawson's Creek,1,0,Dawson,They break their kiss.,126
Dawson's Creek,1,0,Mr. Leery,"Oh, hi son.",127
Dawson's Creek,1,0,Mr. Leery,He dumps Mrs. Leery on the floor.,128
Dawson's Creek,1,0,Mr. Leery,Your mother and I were...,129
Dawson's Creek,1,0,Mrs. Leery,"(fixing her unbuttoned blouse) uh, just discussing whether or not...",130
Dawson's Creek,1,0,Mr. Leery,(interrupting) we needed a new coffee table.,131
Dawson's Creek,1,0,Mr. Leery,Mrs. Leery laughs.,132
Dawson's Creek,1,0,Mr. Leery,Hi Pacey.,133
Dawson's Creek,1,0,Pacey,Hi Mr. Leery...Mrs. Leery.,134
Dawson's Creek,1,0,Mrs. Leery,(smiling) Hi Pacey. (noticing Dawson's increasing embarrassment) Oh don't look so red Dawson. It could be worse.,135
Dawson's Creek,1,0,Mrs. Leery,Dawson runs his hands through his hair and looks away.,136
Dawson's Creek,1,0,Pacey,You know what Mrs. Leery? I really do love that new hairdo.,137
Dawson's Creek,1,0,Mrs. Leery,(fluffing her hair) Oh...Thank you Pacey.,138
Dawson's Creek,1,0,Mr. Leery,I thought you had to work.,139
Dawson's Creek,1,0,Dawson,We ran late.,140
Dawson's Creek,1,0,Dawson,"Mrs. Leery (getting up) I should get going. Okay Mr. Man-meat, I'll see you later.",141
Dawson's Creek,1,0,Dawson,They kiss.,142
Dawson's Creek,1,0,Dawson,Mom...ah!,143
Dawson's Creek,1,0,Dawson,"The creek. Dogs bark in the background. Joey rows her boat up to their dock and ties it up. She gets out and waltzes up to the house. She's intercepted by her sister's boyfriend, Bodie. He walks towards her with a pot and an apron tied around his waist.",144
Dawson's Creek,1,0,Bodie,Just the victim I'm looking for.,145
Dawson's Creek,1,0,Joey,"(smiling) No, Bodie. Not again.",146
Dawson's Creek,1,0,Bodie,But I'm being tested on this one. Here have a taste.,147
Dawson's Creek,1,0,Bodie,He gives her a spoonful.,148
Dawson's Creek,1,0,Joey,(pauses) Orgasmic. Where's Bess?,149
Dawson's Creek,1,0,Joey,Joey's pregnant older sister comes out the front door carrying a shirt.,150
Dawson's Creek,1,0,Bess,"If you want to wear my things, fine. They're fairly useless to me now. But that means you put them back...where you found them. Got it?",151
Dawson's Creek,1,0,Joey,(with attitude) Got it.,152
Dawson's Creek,1,0,Bess,I am way too pregnant to be digging underneath your bed.,153
Dawson's Creek,1,0,Joey,"(even more attitude) So stay out of my room, got it?",154
Dawson's Creek,1,0,Joey,She walks away. Bess turns toward Bodie.,155
Dawson's Creek,1,0,Bess,"I'm going to knock her silly, I swear it.",156
Dawson's Creek,1,0,Bodie,"Here, taste this.",157
Dawson's Creek,1,0,Bodie,"He gives her a sample. She's doubtful at first. That changes, as she tastes it.",158
Dawson's Creek,1,0,Bess,(closing her eyes) Mmmm...Orgasmic.,159
Dawson's Creek,1,0,Bodie,(giving her a kiss) Awww...,160
Dawson's Creek,1,0,Bodie,"Cut to Video Rental Storefront. We see a sign that reads ScreenPlay Video, Movie rentals, New releases and more. Inside Dawson is helping a customer.",161
Dawson's Creek,1,0,Dawson,(taking videos from man) Thank you.,162
Dawson's Creek,1,0,Dawson,The customer leaves as Pacey walks in from the back of the store.,163
Dawson's Creek,1,0,Pacey,"So, if your dad's Mr. Man-meat, does that make you Mr. Man-meat Jr. or Mr. Man-meat the second?",164
Dawson's Creek,1,0,Dawson,"They're going to have to drag the creek to find your body, Pacey.",165
Dawson's Creek,1,0,Dawson,A blond curly headed girl in a black halter-top walks up to them carrying two videos.,166
Dawson's Creek,1,0,Nellie,Does Forrest Gump go in the comedy or drama section?,167
Dawson's Creek,1,0,Pacey,How many times are you going to ask that?,168
Dawson's Creek,1,0,Dawson,It goes in the drama section.,169
Dawson's Creek,1,0,Nellie,(pointedly) Thank you Dawson.,170
Dawson's Creek,1,0,Nellie,She walks away to put the video in its place.,171
Dawson's Creek,1,0,Pacey,(mumbling to Dawson) Can you say wet brain?,172
Dawson's Creek,1,0,Pacey,Nellie whips around.,173
Dawson's Creek,1,0,Nellie,"I'm sorry what did you say? Did you toss a negative, disparaging remark my way? Because if you did, and correct me if I'm wrong, I'd like to remind you who you are.",174
Dawson's Creek,1,0,Pacey,"I know, I know. Your dad owns the place.",175
Dawson's Creek,1,0,Nellie,"Nooo, I'm talking about in the huge, rotating world of life.",176
Dawson's Creek,1,0,Pacey,(amused) And who am I Nellie?,177
Dawson's Creek,1,0,Pacey,Dawson heads toward the back.,178
Dawson's Creek,1,0,Nellie,"Nobody. That's the point. You're not there, you don't even exist. Because if you did, I might have to respond to your pathetic little under the breath one-liners. But instead I take comfort knowing your vapor. Phooo, Phoooo!",179
Dawson's Creek,1,0,Nellie,"She waves her arms around in the air and heads to the back room, where Dawson emerges from, smiling.",180
Dawson's Creek,1,0,Nellie,"Non-existent, nothing.",181
Dawson's Creek,1,0,Nellie,An attractive older woman in a very short dress walks through the door. The boys stare at her as she approaches them.,182
Dawson's Creek,1,0,Pacey,"Oh my God, look at her!",183
Dawson's Creek,1,0,Dawson,"Have some respect man, she's somebody's mother.",184
Dawson's Creek,1,0,Pacey,"I have it on pretty good authority that mother's have excellent s*x lives, alright.",185
Dawson's Creek,1,0,Pacey,She reaches the boys.,186
Dawson's Creek,1,0,Dawson,"(smiling) Good afternoon, can we help you?",187
Dawson's Creek,1,0,Tamara,Yes you can. This is my first time here and I'd like to rent a video.,188
Dawson's Creek,1,0,Pacey,Excellent. You just fill this out and sh**t us over a credit card.,189
Dawson's Creek,1,0,Pacey,He bumps Dawson out of the way and hands Tamara an application. Tamara reaches into her purse and passes him her credit card. Dawson heads into the back again.,190
Dawson's Creek,1,0,Pacey,"Thanks...You new in town, because I haven't seen you in here before.",191
Dawson's Creek,1,0,Tamara,"Yes, I am. My name's Tamara, what's yours?",192
Dawson's Creek,1,0,Pacey,"Pacey, nice to meet you.",193
Dawson's Creek,1,0,Tamara,(handing him back the application) Well here you go Pacey.,194
Dawson's Creek,1,0,Pacey,"Thanks. Um, do you think I could help you locate a video this afternoon?",195
Dawson's Creek,1,0,Tamara,Maybe. I'm in the mood for romance.,196
Dawson's Creek,1,0,Pacey,"Um, we keep the new releases against the...",197
Dawson's Creek,1,0,Tamara,"(interrupting) Oh no, I'm vintage. (smiling) All the way.",198
Dawson's Creek,1,0,Pacey,The classics are in the...,199
Dawson's Creek,1,0,Tamara,(Interrupting again) Where would I find The Graduate?,200
Dawson's Creek,1,0,Tamara,"Cut to Dawson, leaning out from the video stacks in the back.",201
Dawson's Creek,1,0,Pacey,(flustered) The Graduate is the one...,202
Dawson's Creek,1,0,Tamara,"(interrupting for the third time) Where the older woman, Anne Bancroft, seduces the younger man, Dustin Hoffman?",203
Dawson's Creek,1,0,Pacey,I'll check in the...,204
Dawson's Creek,1,0,Pacey,"Dawson walks up to the counter, video in hand.",205
Dawson's Creek,1,0,Dawson,It's right here. Is there anything else I can help you with?,206
Dawson's Creek,1,0,Tamara,"Oh no, that should do it. How much?",207
Dawson's Creek,1,0,Dawson,Pay when you return.,208
Dawson's Creek,1,0,Dawson,She turns to leave.,209
Dawson's Creek,1,0,Dawson,Don't forget your credit card.,210
Dawson's Creek,1,0,Pacey,(handing it to her) ah...right here.,211
Dawson's Creek,1,0,Dawson,Enjoy the film.,212
Dawson's Creek,1,0,Tamara,I will. It was nice to meet you Pacey.,213
Dawson's Creek,1,0,Pacey,Oh yeah.,214
Dawson's Creek,1,0,Pacey,She saunters out.,215
Dawson's Creek,1,0,Dawson,(laughing) Wipe the drool dude.,216
Dawson's Creek,1,0,Pacey,She was flirting with me!,217
Dawson's Creek,1,0,Dawson,She was laughing at you.,218
Dawson's Creek,1,0,Pacey,"No, she wanted me!",219
Dawson's Creek,1,0,Dawson,She wanted Dustin Hoffman.,220
Dawson's Creek,1,0,Dawson,Close up on Pacey.,221
Dawson's Creek,1,0,Pacey,I...,222
Dawson's Creek,1,0,Pacey,He stares after her.,223
Dawson's Creek,1,0,Pacey,"Sunset. Dawson runs towards his house with three videos in his hand. He stops when he spots Jen sitting on the dock, alone. He pauses, then walks over and sits down.",224
Dawson's Creek,1,0,Dawson,Hey. How's your granddad?,225
Dawson's Creek,1,0,Jen,"Well, he's breathing. Good sign.",226
Dawson's Creek,1,0,Jen,Dawson laughs.,227
Dawson's Creek,1,0,Jen,"(scratching chin) It's my Grandma that presents a challenge. She has this praying mentality, which is really awkward, since I don't do that whole God thing.",228
Dawson's Creek,1,0,Jen,She notices the videos.,229
Dawson's Creek,1,0,Jen,"Whatcha got here? Let me see. (she grabs them one by one) Creature from the Black Lagoon, Humanoids from the Deep, Swamp Thing?",230
Dawson's Creek,1,0,Dawson,It's research. I'm making a movie.,231
Dawson's Creek,1,0,Jen,Really? Kinda young to be so ambitious.,232
Dawson's Creek,1,0,Dawson,Fifteen. Spielburg started on a eight millimeter when he was thirteen.,233
Dawson's Creek,1,0,Jen,Why movies? What's the attraction there?,234
Dawson's Creek,1,0,Dawson,I reject reality.,235
Dawson's Creek,1,0,Jen,"(looking away, a little surprised but laughing) Oh!",236
Dawson's Creek,1,0,Dawson,Would you like to see my studio?,237
Dawson's Creek,1,0,Dawson,Cut to a door opening. Dawson and Jen appear and enter Dawson's room.,238
Dawson's Creek,1,0,Jen,Hmmm. Long shot here... ahhh...Spielberg fan?,239
Dawson's Creek,1,0,Dawson,"Pretty much worship the man in a God-like way, yeah.",240
Dawson's Creek,1,0,Jen,How revealing.,241
Dawson's Creek,1,0,Dawson,"I have his career chronicled up on my wall. If you notice, everything is arranged in receding box office order. Starting with the blockbusters: Jurassic Park, ET, Jaws, Indiana Jones and if you follow it to my critically acclaimed wall...",242
Dawson's Creek,1,0,Dawson,He walks over to his closet doors and set's the videos on his desk.,243
Dawson's Creek,1,0,Dawson,"(pointing out) I have Schindler's List and The Color Purple. Oh, and for humility purposes I also keep his others.",244
Dawson's Creek,1,0,Dawson,Dawson opens his closet doors to reveal two posters. Jen laughs.,245
Dawson's Creek,1,0,Dawson,1941 and Always. In limited but excessible view.,246
Dawson's Creek,1,0,Jen,Are you familiar with obsessive reality disorder?,247
Dawson's Creek,1,0,Dawson,"It's beyond that. See I believe that all of the mysteries of the Universe, all of life's questions, can be found in a Spielberg movie. (He sees Jen's doubtful expression) It's a theory I've been working on. See, whenever I have a problem all I have to do is look to the right Spielberg film and the answers revealed.",248
Dawson's Creek,1,0,Jen,Have you considered a twelve-step program?,249
Dawson's Creek,1,0,Dawson,(laughing) Wit. We like that around here.,250
Dawson's Creek,1,0,Dawson,"Cut to Joey walking through Dawson's yard toward the ladder set up against his window. She starts to climb, but pauses at the top when she hears voices.",251
Dawson's Creek,1,0,Jen,(off camera) You are very smooth.,252
Dawson's Creek,1,0,Jen,Cut back to Dawson sitting on his bed.,253
Dawson's Creek,1,0,Dawson,"In all seriousness, the Boston Film Critics have a program for junior filmmakers. Deadlines in two months. Were really under the g*n.",254
Dawson's Creek,1,0,Grams,(off camera) Jennifer!,255
Dawson's Creek,1,0,Grams,"Jen looks up and goes to a window, near the one with Joey. She leans out and sees her Grams waiting for her, as Dawson looks on. Joey presses against the ladder so Jen won't see her.",256
Dawson's Creek,1,0,Jen,I better go...I don't want her to erupt.,257
Dawson's Creek,1,0,Dawson,I'll see you at school.,258
Dawson's Creek,1,0,Jen,(leaving) Bye.,259
Dawson's Creek,1,0,Dawson,Bye.,260
Dawson's Creek,1,0,Dawson,"Cut to Joey's face as she waits for Jen to leave, then slowly pulls herself through the window.",261
Dawson's Creek,1,0,Dawson,"(noticing) Joey! Hey where you been? Come on, sit down. Watch this.",262
Dawson's Creek,1,0,Dawson,"She picks something off his desk and plops down on his bed, playing with it. Dawson turns on a video of mom's newscast.",263
Dawson's Creek,1,0,Mrs. Leery,"(on-screen) 772-5982. Back to you, Bob.",264
Dawson's Creek,1,0,Dawson,Do you think my mom's sleeping with her co-anchor?,265
Dawson's Creek,1,0,Joey,(puzzled) Where did that come from?,266
Dawson's Creek,1,0,Dawson,Watch.,267
Dawson's Creek,1,0,Dawson,He rewinds the tape and plays it again.,268
Dawson's Creek,1,0,Dawson,Something about her B's. They're too soft. (pointing with the remote) Back to you...Bob.,269
Dawson's Creek,1,0,Joey,Your reaching. I mean why would your mom be sleeping with her co- anchor. Your dad's the perfect male specimen.,270
Dawson's Creek,1,0,Dawson,"I don't know, but I think they are.",271
Dawson's Creek,1,0,Joey,Your just looking for conflict. Everything's a potential script to you. Accept your perfect life Dawson. It's reality.,272
Dawson's Creek,1,0,Joey,"Close up on Dawson's face as he rewinds it and plays it again, three times.",273
Dawson's Creek,1,0,Joey,Jen's Grandparent's house. Jen walks into her grandfather's room where he's sleeping. She looks both ways in the hall before sitting down.,274
Dawson's Creek,1,0,Jen,Good morning Granddad.,275
Dawson's Creek,1,0,Jen,"She looks at his scar, visible under his pajamas. She touches it lightly.",276
Dawson's Creek,1,0,Grams,(walking in) What are you doing?,277
Dawson's Creek,1,0,Jen,"Oh, Oh I was just saying good morning.",278
Dawson's Creek,1,0,Grams,Your breakfast is ready.,279
Dawson's Creek,1,0,Jen,Oh (pause) I'm glad to be here Grams.,280
Dawson's Creek,1,0,Grams,Don't wanna be late your first day.,281
Dawson's Creek,1,0,Grams,She walks out of the room leaving Jen holding her Grandfather's hand.,282
Dawson's Creek,1,0,Grams,Close up on a pan of scrambled eggs being stirred. Pull back to reveal Jen at the breakfast table.,283
Dawson's Creek,1,0,Jen,You know I don't usually eat in the morning Grams. I mean I appreciate the thought and all but my eyes are barely propped open by noon. Just a coffee fix and I'm set.,284
Dawson's Creek,1,0,Jen,She pours herself a cup.,285
Dawson's Creek,1,0,Grams,(setting a plate in front of her) Well I'll remember that in the future.,286
Dawson's Creek,1,0,Jen,(holding the mug) So tell me about this Dawson guy next door. He looks so different. He used to be kinda short and compact.,287
Dawson's Creek,1,0,Grams,"You stay away, that boy is trouble.",288
Dawson's Creek,1,0,Jen,"Aren't they all? (pauses) Well, what about the girl who lives down the creek...Joey I think her name is?",289
Dawson's Creek,1,0,Grams,"(sitting down) That girl from down the creek has been crawling into the window of that boy next door for the past ten years. Neither goes to church, I believe they're what you call the wrong element.",290
Dawson's Creek,1,0,Jen,(sipping her coffee) Right.,291
Dawson's Creek,1,0,Jen,Grams lowers her head to say prayers. Jen sets her coffee down and lays her napkin in her lap. Grams looks at her out of the corner of her eye.,292
Dawson's Creek,1,0,Grams,Say grace dear.,293
Dawson's Creek,1,0,Jen,"That's okay, you do it.",294
Dawson's Creek,1,0,Grams,It would be nice if you did it.,295
Dawson's Creek,1,0,Jen,I don't think so Grams. Thanks for the offer.,296
Dawson's Creek,1,0,Grams,Is their some reason you don't want to thank our Lord this morning?,297
Dawson's Creek,1,0,Jen,"You know Grams, I really didn't want to get into this, you know. Kinda causes a headache but um, (pauses) I don't really do well with church and the Bible and this prayer stuff.",298
Dawson's Creek,1,0,Grams,Beg your pardon?,299
Dawson's Creek,1,0,Jen,"I don't covet a religious God, Grams. I'm an Atheist.",300
Dawson's Creek,1,0,Jen,"Camera lingers on Grams shocked expression. ""Tubthumping"" by Chumbawumba plays.",301
Dawson's Creek,1,0,Jen,"Flash scenes of Capeside High School. Kids getting off their bus, tossing footballs and Frisbees. Cut to school hall. Pan down to Jen, at her locker, putting things in her backpack. She holds her schedule in her teeth while trying to fit things in. Nellie walks up.",302
Dawson's Creek,1,0,Nellie,"(smiling) Hi, I'm Nellie Olsen.",303
Dawson's Creek,1,0,Jen,(removing schedule from her mouth) Nellie as in Little House...,304
Dawson's Creek,1,0,Nellie,"I know, I know. Little House on the Prairie, it was like my mom and dad's favorite show. But no preconceptions okay? I'm not like her at all.",305
Dawson's Creek,1,0,Jen,"Uh, I'm Jen.",306
Dawson's Creek,1,0,Nellie,"From New York. I know. How's your grandfather? He has us all worried. He's still on the prayer list at church, you party?",307
Dawson's Creek,1,0,Jen,Excuse me?,308
Dawson's Creek,1,0,Nellie,Par-ty?,309
Dawson's Creek,1,0,Jen,"Uh, party as in do I like to have a good time, or party as in drink and use drugs?",310
Dawson's Creek,1,0,Nellie,It's objective.,311
Dawson's Creek,1,0,Jen,I like to have a good time. Substance free.,312
Dawson's Creek,1,0,Nellie,Maybe we should call you Nellie. (shrugs) See ya!,313
Dawson's Creek,1,0,Nellie,"She walks away. Jen turns, a little dazed, back to her locker.",314
Dawson's Creek,1,0,Dawson,(walking up) Hey! How's it going?,315
Dawson's Creek,1,0,Jen,I could really use a cigarette.,316
Dawson's Creek,1,0,Dawson,(surprised) You smoke?,317
Dawson's Creek,1,0,Jen,"Uh, I quit. I'm just a little tense.",318
Dawson's Creek,1,0,Dawson,(smiling) Well you're hiding it well.,319
Dawson's Creek,1,0,Jen,I have a great denial system.,320
Dawson's Creek,1,0,Dawson,"Yeah, it's the first day, we're all a little tense. It'll get easier.",321
Dawson's Creek,1,0,Jen,Good.,322
Dawson's Creek,1,0,Dawson,How's your schedule? They screwed up mine.,323
Dawson's Creek,1,0,Dawson,Jen brings her schedule out and they look it over.,324
Dawson's Creek,1,0,Dawson,Who do you have first period?,325
Dawson's Creek,1,0,Jen,Um...Briston. Biology.,326
Dawson's Creek,1,0,Dawson,I was just heading that way.,327
Dawson's Creek,1,0,Jen,(Smiling) Were you?,328
Dawson's Creek,1,0,Jen,"She closes her locker and they walk off down the hall. ""Tubthumping"" plays.",329
Dawson's Creek,1,0,Jen,"Cut to Pacey in a classroom. He balances a book on his head as other student enter, talking and take their seats. The door opens and Tamara enters. Pacey turns in time to see her, surprised. He grabs the book from off his head.",330
Dawson's Creek,1,0,Pacey,Tamara.,331
